# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
-0.562028	0.196194	0.196194	0.687716
-0.502415	0.22616	0.22616	8.35622
-0.404295	0.252306	0.252306	4.64526
-0.27908	0.274234	0.274234	6.27029
-0.19088	0.292181	0.292181	8.2734
-0.00705015	0.305939	0.305939	0.090626
0.043369	0.31516	0.31516	6.83573
0.158765	0.319179	0.319179	3.88261
0.199102	0.318354	0.318354	3.14501
0.331241	0.312894	0.312894	0.669136
0.465298	0.30278	0.30278	2.07239
0.796778	0.28832	0.28832	3.76537
0.728121	0.269181	0.269181	5.06746
0.700265	0.2464	0.2464	8.18603
0.962752	0.220403	0.220403	1.11141
0.931245	0.190873	0.190873	0.836106
1.15679	0.15882	0.15882	13.6732
1.14681	0.124686	0.124686	5.52226
1.09762	0.0894322	0.0894322	0.039262
1.04923	0.052967	0.052967	1.5156
1.10907	0.0160369	0.0160369	2.02727
1.02369	-0.0207166	-0.0207166	0.288873
1.0896	-0.0565839	-0.0565839	1.7881
1.02998	-0.0913604	-0.0913604	4.85853
0.919829	-0.123951	-0.123951	3.38911
0.795947	-0.154194	-0.154194	8.33094
0.689379	-0.181551	-0.181551	0.239402
0.583634	-0.205893	-0.205893	0.0534012
0.51828	-0.226645	-0.226645	3.07675
0.396609	-0.24377	-0.24377	28.9535
0.106248	-0.256373	-0.256373	3.16359
0.0429953	-0.264635	-0.264635	1.00048
0.147656	-0.26859	-0.26859	22.0656
-0.24034	-0.267828	-0.267828	23.1222
-0.354464	-0.263121	-0.263121	1.28061
-0.263685	-0.254198	-0.254198	2.06343
-0.542842	-0.240852	-0.240852	7.37503
-0.529157	-0.223787	-0.223787	8.12837
-0.733823	-0.202899	-0.202899	0.73908
-0.854282	-0.179214	-0.179214	13.7568
-0.910974	-0.152408	-0.152408	8.04831
-0.914702	-0.123491	-0.123491	2.57942
-0.764753	-0.0922375	-0.0922375	10.8631
-0.973302	-0.0599375	-0.0599375	0.665529
-0.987323	-0.0266356	-0.0266356	8.86679
-0.842322	0.00705268	0.00705268	2.80016
-0.818629	0.0404368	0.0404368	8.22204
-0.812443	0.0736814	0.0736814	0.3066
-0.720283	0.105626	0.105626	12.8924
-0.678731	0.135281	0.135281	0.40811
-0.544607	0.163083	0.163083	16.4174
-0.446966	0.188765	0.188765	1.39886
-0.529914	0.211517	0.211517	11.4225
-0.279015	0.230713	0.230713	19.6199
-0.197357	0.245805	0.245805	48.3865
0.074237	0.25828	0.25828	4.60966
-0.0646761	0.2665	0.2665	10.5454
0.251193	0.270557	0.270557	1.67272
0.20486	0.270363	0.270363	5.44027
0.323594	0.266336	0.266336	0.317815
